Местное время в Астане;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
14.06.2018 14:00;22.май;729.6;759.4;-0.7;29;Ветер, дующий с запада;3;;;100%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";70 – 80%.;1500-2000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;10.0;03.июн;;;;;;
14.06.2018 11:00;18.мар;730.3;760.6;0.2;34;Ветер, дующий с западо-северо-запада;3;;;100%.; ;;;06.июл;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;10.0;02.фев;;;;;;
14.06.2018 8:00;16.янв;730.1;760.6;0.6;45;Ветер, дующий с западо-юго-запада;2;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;04.фев;;;Поверхность почвы влажная.;;;
14.06.2018 5:00;8.0;729.5;760.9;0.4;65;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;10.0;01.авг;;;;;;
14.06.2018 2:00;09.май;729.1;760.3;0.4;71;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;04.май;;;;;;
13.06.2018 23:00;08.сен;728.7;760.0;0.7;69;Штиль, безветрие;0;;;Облаков нет.; ;;;;20.янв;;;;;;;03.май;0.8;12;;;;
13.06.2018 20:00;14.апр;728.0;758.6;0.9;50;Ветер, дующий с юго-востока;3;;;20–30%.; ;;;;20.янв;Слоисто-кучевые, образовавшиеся из кучевых.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;04.янв;0.8;12;;;;
13.06.2018 17:00;17.май;727.1;757.3;-0.2;43;Ветер, дующий с запада;1;;;60%.;Состояние неба в общем не изменилось. ;Гроза (грозы) с осадками или без них.;Ливень (ливни).;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";40%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;04.авг;;;;;;
13.06.2018 14:00;15.май;727.3;757.7;0.3;51;Ветер, дующий с северо-запада;1;;;100%.;Ливневый(ые) дождь(и). ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;1000-1500;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;10.0;05.апр;;;;;;
13.06.2018 11:00;18.янв;727.0;757.1;0.3;38;Ветер, дующий с западо-северо-запада;3;;;70 – 80%.; ;;;07.июн;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;1000-1500;Высококучевые башенкообразные или хлопьевидные.;;10.0;03.июн;;;;;;
13.06.2018 8:00;15.сен;726.7;757.1;0.3;45;Ветер, дующий с северо-северо-востока;2;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые башенкообразные или хлопьевидные.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;4.0;;;Cухая (без трещин, заметного количества пыли или сыпучего песка);;;
13.06.2018 5:00;10.фев;726.4;757.4;0.0;74;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;10.0;05.авг;;;;;;
13.06.2018 2:00;10.май;726.4;757.4;0.2;62;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;03.май;;;;;;
12.06.2018 23:00;13.июл;726.2;756.8;0.7;52;Ветер, дующий с северо-запада;1;;;Облаков нет.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;22.сен;;;;;;;4.0;Следы осадков;12;;;;
12.06.2018 20:00;17.апр;725.5;755.7;0.2;43;Ветер, дующий с западо-северо-запада;1;;;40%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;22.сен;Слоисто-кучевые, образовавшиеся из кучевых.;40%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;04.июн;Следы осадков;12;;;;
12.06.2018 17:00;19.июл;725.3;755.2;1.0;;Ветер, дующий с запада;4;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;;;;;;;
12.06.2018 14:00;21.янв;724.3;754.0;0.7;37;Ветер, дующий с западо-северо-запада;3;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высококучевые башенкообразные или хлопьевидные.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;05.сен;;;;;;
12.06.2018 11:00;21.0;723.6;753.3;0.8;38;Ветер, дующий с запада;4;;;40%.; ;;;16.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые башенкообразные или хлопьевидные.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;06.фев;;;;;;
12.06.2018 8:00;19.май;722.8;752.7;0.5;45;Ветер, дующий с запада;3;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые башенкообразные или хлопьевидные.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;07.мар;;;Cухая (без трещин, заметного количества пыли или сыпучего песка);12.0;;
12.06.2018 5:00;16.июл;722.3;752.4;0.1;57;Ветер, дующий с юго-юго-запада;3;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые башенкообразные или хлопьевидные.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;08.янв;;;;;;
12.06.2018 2:00;18.фев;722.2;752.1;-0.6;46;Ветер, дующий с юго-юго-запада;1;;;Облаков нет.; ;;;;;;;;;;;06.апр;;;;;;
11.06.2018 23:00;20.апр;722.8;752.6;-0.6;37;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;25.июл;;;;;;;05.фев;;;;;;
11.06.2018 20:00;22.июл;723.4;753.0;-0.3;28;Ветер, дующий с юго-юго-запада;1;;;Облаков нет.; ;;;;25.июл;;;;;;10.0;03.мар;;;;;;
11.06.2018 17:00;25.апр;723.7;753.1;-0.9;27;Ветер, дующий с юга;1;;;40%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;1000-1500;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;05.янв;;;;;;
11.06.2018 14:00;23.авг;724.6;754.0;-0.7;28;Ветер, дующий с юга;2;;;20–30%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;04.фев;;;;;;
11.06.2018 11:00;22.янв;725.3;755.0;-0.5;34;Ветер, дующий с юга;2;;;Облаков нет.; ;;;10.май;;;;;;;10.0;05.май;;;;;;
11.06.2018 8:00;18.авг;725.8;755.8;0.0;48;Ветер, дующий с юга;1;;;Облаков нет.; ;;;;;;;;;;10.0;07.июн;;;Cухая (без трещин, заметного количества пыли или сыпучего песка);;;
11.06.2018 5:00;13.мар;725.8;756.4;0.0;64;Ветер, дующий с юга;1;;;Облаков нет.; ;;;;;;;;;;10.0;06.июн;;;;;;
11.06.2018 2:00;14.0;725.8;756.3;-0.6;57;Ветер, дующий с юга;1;;;Облаков нет.; ;;;;;;;;;;;05.июн;;;;;;
10.06.2018 23:00;15.май;726.4;756.8;0.1;52;Ветер, дующий с юго-юго-запада;2;;;Облаков нет.; ;;;;22.мар;;;;;;;05.июл;;;;;;
10.06.2018 20:00;19.мар;726.3;756.3;0.1;36;Ветер, дующий с юго-юго-запада;3;;;20–30%.; ;;;;22.мар;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;03.сен;;;;;;
10.06.2018 17:00;20.авг;726.2;756.1;-0.1;29;Ветер, дующий с юго-юго-запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;10.0;02.янв;;;;;;
10.06.2018 14:00;21.июл;726.3;756.1;-0.5;27;Ветер, дующий с севера;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;10.0;01.сен;;;;;;
10.06.2018 11:00;19.июл;726.8;756.8;-0.6;30;Ветер, дующий с северо-запада;2;;;40%.; ;;;09.янв;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;10.0;01.июл;Следы осадков;12;;;;
10.06.2018 8:00;15.сен;727.4;757.9;0.3;50;Ветер, дующий с западо-северо-запада;1;;;Облаков нет.; ;;;;;;;;;;10.0;05.май;Следы осадков;12;Поверхность почвы влажная.;;;
10.06.2018 5:00;09.мар;727.1;758.2;-0.1;79;Ветер, дующий с западо-юго-запада;3;;;Облаков нет.;Облака в целом рассеиваются или становятся менее развитыми. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;;;;;;10.0;05.авг;;;;;;
10.06.2018 2:00;10.авг;727.2;758.2;-0.2;59;Ветер, дующий с западо-юго-запада;3;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;;03.янв;;;;;;
09.06.2018 23:00;11.июн;727.4;758.3;0.4;72;Ветер, дующий с юга;1;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;17.янв;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;06.июл;;;;;;
09.06.2018 20:00;13.авг;727.0;757.6;0.5;61;Ветер, дующий с юга;2;;;100%.; ;;;;17.янв;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;1000-1500;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;10.0;06.апр;;;;;;
09.06.2018 17:00;17.0;726.5;756.8;-1.1;41;Ветер, дующий с севера;3;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;1000-1500;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;10.0;03.июл;;;;;;
09.06.2018 14:00;15.июн;727.6;758.0;-0.5;46;Ветер, дующий с востоко-северо-востока;1;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;1000-1500;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;10.0;4.0;;;;;;
09.06.2018 11:00;14.янв;728.1;758.8;-0.6;55;Ветер, дующий с востоко-северо-востока;4;;;100%.; ;;;10.июн;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;1000-1500;Высококучевые башенкообразные или хлопьевидные.;;10.0;05.фев;0.4;12;;;;
09.06.2018 8:00;13.июл;728.7;759.4;0.4;59;Ветер, дующий с северо-востока;4;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые башенкообразные или хлопьевидные.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;10.0;05.авг;0.4;12;Поверхность почвы влажная.;10.0;;
09.06.2018 5:00;11.фев;728.3;759.3;0.5;62;Ветер, дующий с северо-северо-востока;4;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;;04.фев;;;;;;
09.06.2018 2:00;14.0;727.8;758.5;0.8;53;Ветер, дующий с северо-северо-востока;5;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;;04.июн;;;;;;
08.06.2018 23:00;15.фев;727.0;757.5;0.7;64;Ветер, дующий с северо-северо-востока;3;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;28.сен;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;1000-1500;;;;08.апр;1.0;12;;;;
08.06.2018 20:00;16.апр;726.3;756.6;01.авг;68;Ветер, дующий с северо-востока;4;;;90  или более, но не 100%;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;28.сен;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;4.0;10.май;1.0;12;;;;
08.06.2018 17:00;22.сен;724.5;754.0;0.5;69;Ветер, дующий с северо-востока;2;;;70 – 80%.;Слабый дождь в срок наблюдения. Гроза в течение последнего часа, но не в срок наблюдения. ;Гроза (грозы) с осадками или без них.;Ливень (ливни).;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;16.сен;;;;;;
08.06.2018 14:00;27.фев;724.0;753.1;-0.6;39;Ветер, дующий с северо-запада;2;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;1000-1500;Высококучевые башенкообразные или хлопьевидные.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;12.0;;;;;;
08.06.2018 11:00;23.май;724.6;754.0;0.3;52;Ветер, дующий с северо-запада;1;;;90  или более, но не 100%;Ливневый(ые) дождь(и). ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;17.май;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;1000-1500;Высококучевые башенкообразные или хлопьевидные.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;13.янв;;;;;;
08.06.2018 8:00;22.мар;724.3;753.8;01.фев;53;Ветер, дующий с северо-северо-запада;2;;;90  или более, но не 100%;Осадки в поле зрения, не достигающие поверхности земли или моря поблизости. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;1000-1500;Высококучевые башенкообразные или хлопьевидные.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;12.мар;;;Cухая (без трещин, заметного количества пыли или сыпучего песка);;;
08.06.2018 5:00;18.янв;723.1;753.1;-0.4;49;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;1000-1500;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;10.0;07.фев;;;;;;
08.06.2018 2:00;20.июн;723.5;753.3;-0.5;37;Ветер, дующий с юга;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;05.апр;;;;;;
07.06.2018 23:00;24.фев;724.0;753.4;-0.7;27;Ветер, дующий с юго-юго-запада;2;;;Облаков нет.; ;;;;33.0;;;;;;;4.0;;;;;;
07.06.2018 20:00;28.июн;724.7;753.7;-0.6;21;Ветер, дующий с юга;2;;;40%.; ;;;;33.0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;04.фев;;;;;;
07.06.2018 17:00;31.2;725.3;754.1;-1.4;17;Ветер, дующий с юго-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;10.0;03.мар;;;;;;
07.06.2018 14:00;32.4;726.7;755.4;-1.2;14;Ветер, дующий с юго-запада;4;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;10.0;01.май;;;;;;
07.06.2018 11:00;28.0;727.9;757.0;-0.6;23;Ветер, дующий с юга;2;;;100%.; ;;;17.июн;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;10.0;5.0;;;;;;
07.06.2018 8:00;22.мар;728.5;758.3;-0.5;32;Ветер, дующий с юга;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;10.0;04.авг;;;Cухая (без трещин, заметного количества пыли или сыпучего песка);;;
07.06.2018 5:00;19.0;729.0;759.1;-0.1;35;Ветер, дующий с юго-юго-запада;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;03.фев;;;;;;
07.06.2018 2:00;18.сен;729.1;759.3;-1.0;38;Ветер, дующий с юга;1;;;Облаков нет.; ;;;;;;;;;;;04.мар;;;;;;
06.06.2018 23:00;20.сен;730.1;760.1;-0.4;35;Штиль, безветрие;0;;;Облаков нет.; ;;;;31.янв;;;;;;;04.сен;;;;;;
06.06.2018 20:00;27.май;730.5;759.9;-0.7;20;Штиль, безветрие;0;;;100%.; ;;;;31.янв;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;10.0;02.июн;;;;;;
06.06.2018 17:00;30.июн;731.2;760.3;-0.9;16;Ветер, дующий с юга;2;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;10.0;01.сен;;;;;;
06.06.2018 14:00;29.сен;732.1;761.3;-0.7;16;Ветер, дующий с запада;3;;;70 – 80%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;50%.;1500-2000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;01.апр;;;;;;
06.06.2018 11:00;29.0;732.8;762.1;-0.5;19;Ветер, дующий с юго-юго-запада;3;;;20–30%.; ;;;16.май;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";20–30%.;1500-2000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;03.янв;;;;;;
06.06.2018 8:00;21.сен;733.3;763.3;-0.1;36;Ветер, дующий с юга;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;06.фев;;;Cухая (без трещин, заметного количества пыли или сыпучего песка);;;
06.06.2018 5:00;17.авг;733.4;763.9;0.5;38;Ветер, дующий с юга;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;03.мар;;;;;;
06.06.2018 2:00;18.июл;732.9;763.3;0.1;37;Ветер, дующий с юга;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;03.июл;;;;;;
05.06.2018 23:00;20.0;732.8;763.0;0.4;33;Ветер, дующий с юга;1;;;100%.; ;;;;26.май;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;03.мар;;;;;;
05.06.2018 20:00;22.сен;732.4;762.3;0.0;27;Ветер, дующий с юга;1;;;70 – 80%.; ;;;;26.май;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;02.сен;;;;;;
05.06.2018 17:00;26.янв;732.4;762.0;0.0;20;Ветер, дующий с юго-юго-запада;5;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;01.апр;;;;;;
05.06.2018 14:00;25.июл;732.4;762.0;0.2;22;Ветер, дующий с юга;5;;;60%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;10.0;02.апр;;;;;;
05.06.2018 11:00;24.июл;732.2;762.0;0.4;24;Ветер, дующий с юго-юго-запада;5;;;60%.; ;;;13.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;10.0;02.авг;Следы осадков;12;;;;
