Местное время в Астане;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
20.09.2018 14:00;21.авг;722.8;752.5;-0.5;31;Ветер, дующий с юга;4;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;10.0;03.июл;;;;;;
20.09.2018 11:00;19.апр;723.3;753.2;-0.9;30;Ветер, дующий с юга;2;;;100%.; ;;;12.май;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;10.0;01.янв;;;;;;
20.09.2018 8:00;13.сен;724.2;754.7;-0.3;35;Ветер, дующий с юга;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;10.0;-1.3;;;Cухая (без трещин, заметного количества пыли или сыпучего песка);7.0;;
20.09.2018 5:00;13.0;724.5;755.2;-0.4;37;Ветер, дующий с юго-юго-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-1.4;;;;;;
20.09.2018 2:00;14.апр;724.9;755.4;-1.2;35;Ветер, дующий с юго-юго-востока;1;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-0.8;;;;;;
19.09.2018 23:00;16.апр;726.1;756.5;-1.4;26;Ветер, дующий с юга;1;;;40%.; ;;;;19.сен;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые башенкообразные или хлопьевидные.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-3.3;;;;;;
19.09.2018 20:00;17.июн;727.5;757.8;-0.7;22;Ветер, дующий с юга;2;;;100%.; ;;;;19.сен;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;;-4.2;;;;;;
19.09.2018 17:00;18.июн;728.2;758.5;-1.2;28;Ветер, дующий с юга;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;10.0;-0.5;;;;;;
19.09.2018 14:00;19.фев;729.4;759.6;-2.3;32;Ветер, дующий с юго-юго-востока;3;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;10.0;01.сен;;;;;;
19.09.2018 11:00;16.фев;731.7;762.3;-1.5;32;Ветер, дующий с юго-юго-востока;2;;;70 – 80%.; ;;;08.мар;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;10.0;-0.6;;;;;;
